0	4
1	5
2	6
3	7
4	85
5	86
6	46
7	47
8	50
9	51
10	52
11	78
12	79
13	53
14	54
15	75
16	76
17	77
18	17
19	18
20	19
21	66
22	43
23	30
24	31
25	10
26	11
27	12
28	28
29	29
30	87
31	55
32	56
33	57
34	58
35	59
36	60
37	3
38	32
39	33
40	82
41	83
42	44
43	45
44	67
45	68
46	42
47	20
48	21
49	22
50	23
51	24
52	25
53	26
54	27
55	61
56	64
57	65
58	84
59	71
60	72
61	73
62	74
63	69
64	70
65	34
66	35
67	36
68	37
69	38
70	39
71	13
72	14
73	15
74	16
75	8
76	9
77	62
78	63
79	0
80	1
81	2
82	40
83	41
84	80
85	81
86	48
87	49
